Name	Category	Id
CoachGregAdams	MGTOW	UCyLHoOMy2mcIq7v5BFnNQww
RF SQUARE	MGTOW	UClLNqr9kTEehlf7jSiSLJVg
Sunrise Hoodie	MGTOW	UCauYZm2lm1MufqCN9zIrXyA
Happy Humble Hermit	MGTOW	UCjVhxbG6CPGw3YP-BpaOIqA
The Solitary Wolf	MGTOW	UCd4xRbTbKS3CI8I17YjTBNQ
MEN101	MGTOW	UCueXoXyOKbhDfnub_28eC7A
Captain Sinbad	MGTOW	UCMPAwSx-57jgqImqEYxZiXg
The Enlightened Kiwi	MGTOW	UC8XKyvQ5Ne_bvYbgv8LaIeg
Jaded Creep	MGTOW	UCDRhy5G0TGF0nHdMjSH2E6w
Jerry Liu	MGTOW	UCjl9iBBVhu4xziXwjgLwqYQ
L O M	MGTOW	UCCIqP2EUeK46bcFuyf8E6dw
Alpha Male Guide	MGTOW	UCvGzonGrDIzUQnwJBLe22YQ
Red Pill Mindframe	MGTOW	UCton5c-eyajfNR_pRcKk86g
MGTOWN	MGTOW	UCH4-z1jU6v1QCZE0hqGcS7Q
MGTOW MONEY	MGTOW	UCSGTCm_L2ssNJmScEhJU3og
James Von Maxwell	MGTOW	UC4l_02h-34rlgyUhBaUgcfQ
Coach Red Pill	MGTOW	UCezB8ZxKLSmmL2gx8zb4iEw
MrElite O_O	MGTOW	UC5tEELgWBfKbA9fVPRzBzPQ
MGT OW	MGTOW	UCseRVXO0TkkxjF5Oum6X33A
RazorBladeKandy2	MGTOW	UCKoYrCh8bOYuqAnkXx9Uakw
Ronin Man	MGTOW	UCrSJF7GT6MOm6PxYmv0H3_g
Sandman	MGTOW	UCj5j4pIgg8gtcRA4iYTWiAg
Turd Flinging Monkey	MGTOW	UCeCV-XNeZIoHiCGfNYCLh9Q
Bold and Determined	MGTOW	UCbgzmK-mfpjULHZ8SMCuhdg
Redonkulas	MGTOW	UCvM0vwv9wWh13d21f4HdJrw
TheALPHACHECK100	MGTOW	UCwd_sSDZ8EQt6SEeOO2tBRA
Eggy Noggy	MGTOW	UC7gAnULJ4WuqXTsIBwAnIBw
bar bar	MGTOW	UCZ9GGHg7ERYgH_pIduMjgdA
RPW	MGTOW	UCDoNFQZqQpd6aL32Ua4JPTQ
huMAN	MGTOW	UCdGVD4QzNyUrfyX5oiZVtfQ
Thinking-Ape	MGTOW	UCT2dUsMtd08RfaH12O9DCDg
Misandry Today	MGTOW	UCo1qRcO1OehgkOD_fHsu_uQ
Jolly Misanthrope	MGTOW	UCbJx13WCQq8mpbaIwz6Oanw
The Stoic MGTOW	MGTOW	UCV8_fJZJe4GXqPq3bS0f6mw
Paul Proteus	MGTOW	UCIEO_w-8_voXDymte5KYw_A
John The Other	MGTOW	UCk2AXFIEy8Fq-ExkJxhLh_A
Groundwork For The Metaphysics of MGTOW	MGTOW	UC255AfKquZnQMO0amxdEGWw
Mayor of MGTOW	MGTOW	UCZrMKcDNPruX8ltP0Y0pOTw
Hannah Wallen	MRA	UCdMPdytnpICXabqQE7LG-sQ
girlwriteswhat	MRA	UC_7Bt0vnvdJqAwF8Ow8iT0g
